SourceFile,FileName,Make,Model,Orientation,FNumber,ExposureProgram,ExposureTime,ISO,ApertureValue,Flash,FocalLength,DigitalZoomRatio,SceneCaptureType,ImageWidth,ImageHeight
./Note 1 Telephoto/20221024_141451(0).jpg,20221024_141451(0).jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141432(0).jpg,20221024_141432(0).jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141439.jpg,20221024_141439.jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141438.jpg,20221024_141438.jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141428.jpg,20221024_141428.jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141414.jpg,20221024_141414.jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141429.jpg,20221024_141429.jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141338(0).jpg,20221024_141338(0).jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141414(0).jpg,20221024_141414(0).jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141430(0).jpg,20221024_141430(0).jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
./Note 1 Telephoto/20221024_141453(0).jpg,20221024_141453(0).jpg,samsung,SM-N970U,Rotate 90 CW,1.5,Program AE,1/40,500,1.5,No Flash,4.3 mm,,Standard,4032,3024
